Gender,Age,Family_ID,Work_ID,School_ID,Work_Status,School_Status,Infection_Status
1,25,1,4353,,1,0,S
1,68,1,,,-2,0,S
0,35,1,2125,,1,0,S
1,33,1,3764,,1,0,S
0,28,2,2541,,1,0,S
0,74,2,,,-2,0,S
0,87,3,,,-2,0,S
0,84,3,,,-2,0,S
0,50,3,4561,,1,0,S
0,62,3,2019,,1,0,S
1,85,4,,,-2,0,S
0,87,4,,,-2,0,S
1,58,4,2318,,1,0,S
1,81,4,,,-2,0,S
1,78,4,,,-2,0,S
0,55,4,1800,,1,0,S
0,8,5,,12,-1,3,S
0,22,5,3213,,1,0,S
0,87,6,,,-2,0,S
0,21,7,1235,,1,0,S
0,73,7,,,-2,0,S
0,10,7,,41,-1,3,S
0,9,7,,60,-1,3,S
0,68,7,,,-2,0,S
0,88,7,,,-2,0,S
0,15,8,,50,-1,1,S
1,23,8,1739,,1,0,S
1,40,8,,,0,0,S
0,18,9,387,,1,0,S
0,6,9,,60,-1,3,S
0,1,9,,33,-1,6,S
1,93,10,,,-2,0,S
1,55,10,117,,1,0,S
1,13,10,,45,-1,2,S
0,25,11,3721,,1,0,S
1,26,11,1270,,1,0,S
0,42,11,2760,,1,0,S
1,38,12,1599,,1,0,S
0,4,12,,26,-1,4,S
1,71,12,,,-2,0,S
0,49,12,4017,,1,0,S
1,66,13,,,-2,0,S
0,69,13,,,-2,0,S
0,49,13,3153,,1,0,S
0,29,13,2363,,1,0,S
0,62,14,3158,,1,0,S
0,44,15,,,0,0,S
1,91,15,,,-2,0,S
1,45,16,2941,,1,0,S
0,1,16,,46,-1,6,S
1,76,17,,,-2,0,S
1,99,17,,,-2,0,S
0,25,17,2599,,1,0,S
0,91,17,,,-2,0,S
0,29,17,,,0,0,S
0,57,17,285,,1,0,S
1,97,18,,,-2,0,S
1,79,18,,,-2,0,S
1,89,18,,,-2,0,S
1,97,18,,,-2,0,S
1,80,19,,,-2,0,S
0,0,19,,21,-1,6,S
1,75,19,,,-2,0,S
1,4,19,,20,-1,4,S
0,15,19,,5,-1,1,S
1,3,20,,60,-1,5,S
0,49,20,3099,,1,0,S
0,12,21,,64,-1,2,S
0,60,21,176,,1,0,S
0,9,21,,51,-1,3,S
1,68,21,,,-2,0,S
1,93,22,,,-2,0,S
0,93,23,,,-2,0,S
1,46,23,1381,,1,0,S
1,29,24,2618,,1,0,S
0,25,24,852,,1,0,S
1,18,24,928,,1,0,S
1,53,25,280,,1,0,S
1,24,25,2189,,1,0,S
0,8,26,,56,-1,3,S
1,11,27,,34,-1,3,S
1,76,27,,,-2,0,S
1,76,27,,,-2,0,S
1,42,27,1507,,1,0,S
0,25,28,2664,,1,0,S
0,86,28,,,-2,0,S
0,47,29,84,,1,0,S
0,85,29,,,-2,0,S
0,34,30,2970,,1,0,S
0,9,30,,9,-1,3,S
1,66,30,,,-2,0,S
1,34,31,,,0,0,S
1,13,31,,20,-1,2,S
1,35,31,4562,,1,0,S
1,72,32,,,-2,0,S
1,35,32,,,0,0,S
1,39,32,2021,,1,0,S
1,37,33,280,,1,0,S
1,60,33,,,0,0,S
0,49,33,1403,,1,0,S
1,97,33,,,-2,0,S
1,83,34,,,-2,0,S
0,35,34,2694,,1,0,S
0,38,34,4541,,1,0,S
1,37,35,,,0,0,S
1,73,35,,,-2,0,S
0,11,35,,6,-1,3,S
1,81,35,,,-2,0,S
1,15,36,,2,-1,1,S
1,7,36,,2,-1,3,S
1,89,36,,,-2,0,S
1,5,36,,56,-1,4,S
1,74,36,,,-2,0,S
0,41,37,,,0,0,S
0,48,37,,,0,0,S
0,24,37,3292,,1,0,S
1,33,38,2616,,1,0,S
1,96,38,,,-2,0,S
1,68,39,,,-2,0,S
1,57,39,,,0,0,S
0,33,39,3816,,1,0,S
1,44,39,,,0,0,S
1,55,40,3875,,1,0,S
1,58,41,2430,,1,0,S
1,25,41,2183,,1,0,S
1,68,41,,,-2,0,S
1,42,41,1781,,1,0,S
1,94,42,,,-2,0,S
0,97,42,,,-2,0,S
1,3,42,,12,-1,5,S
0,25,43,3900,,1,0,S
1,35,43,,,0,0,S
1,57,43,1387,,1,0,S
1,6,43,,49,-1,3,S
1,47,43,3398,,1,0,S
1,11,44,,4,-1,3,S
0,51,44,275,,1,0,S
0,31,44,1726,,1,0,S
0,77,44,,,-2,0,S
1,20,44,1890,,1,0,S
0,61,44,2831,,1,0,S
0,54,45,4140,,1,0,S
1,51,45,1840,,1,0,S
1,32,45,327,,1,0,S
1,98,45,,,-2,0,S
0,74,45,,,-2,0,S
0,60,46,1887,,1,0,S
1,71,46,,,-2,0,S
0,13,46,,41,-1,2,S
0,26,46,1198,,1,0,S
1,31,47,3706,,1,0,S
0,4,47,,40,-1,4,S
0,62,47,2595,,1,0,S
0,29,47,1271,,1,0,S
1,85,48,,,-2,0,S
1,32,48,,,0,0,S
1,41,48,2089,,1,0,S
1,57,48,4361,,1,0,S
0,29,48,3318,,1,0,S
0,19,49,4342,,1,0,S
1,46,50,3888,,1,0,S
1,99,51,,,-2,0,S
1,4,51,,8,-1,4,S
1,23,51,,,0,0,S
1,31,51,2923,,1,0,S
1,31,52,4018,,1,0,S
0,14,52,,33,-1,2,S
1,54,52,4050,,1,0,S
0,25,52,,,0,0,S
1,72,52,,,-2,0,S
0,86,52,,,-2,0,S
1,63,53,3110,,1,0,S
0,43,53,,,0,0,S
0,46,54,45,,1,0,S
0,40,54,1245,,1,0,S
1,28,54,4740,,1,0,S
1,43,55,3342,,1,0,S
1,32,55,1506,,1,0,S
1,38,55,4106,,1,0,S
1,92,56,,,-2,0,S
0,61,57,431,,1,0,S
0,40,57,1429,,1,0,S
0,65,57,3083,,1,0,S
1,10,57,,15,-1,3,S
0,18,57,2333,,1,0,S
1,73,58,,,-2,0,S
0,28,58,2532,,1,0,S
1,35,58,,,0,0,S
1,29,58,2180,,1,0,S
0,36,59,,,0,0,S
0,36,59,3294,,1,0,S
