Step,Susceptible,Exposed,Infected,Recovered
0,88204,16,4,1
1,88202,15,7,1
2,88202,12,9,2
3,88198,13,9,5
4,88194,15,11,5
5,88186,19,15,5
6,88180,22,17,6
7,88174,25,20,6
8,88171,25,21,8
9,88163,29,23,10
10,88158,29,23,15
11,88151,32,25,17
12,88132,48,27,18
13,88128,45,33,19
14,88117,42,41,25
15,88093,60,42,30
16,88083,59,48,35
17,88065,62,55,43
18,88049,67,59,50
19,87897,203,69,56
20,87860,206,95,64
21,87783,248,115,79
22,87569,412,152,92
23,87345,562,210,108
24,87046,756,294,129
25,86438,1212,420,155
26,85480,1941,605,199
27,84747,2301,921,256
28,83380,3223,1268,354
29,81696,4286,1761,482
30,79457,5653,2480,635
31,76227,7723,3395,880
32,72627,9747,4644,1207
33,67210,13200,6135,1680
34,62138,15608,8224,2255
35,55072,19601,10468,3084
36,48139,22611,13329,4146
37,41401,24733,16592,5499
38,34453,26713,19847,7212
39,28479,27267,23247,9232
40,23495,26763,26339,11628
41,19361,25670,28944,14250
42,15696,24144,31369,17016
43,13127,21783,33164,20151
44,10883,19574,34262,23506
45,9149,17395,34813,26868
46,7764,15378,34856,30227
47,6706,13368,34570,33581
48,5856,11478,33929,36962
49,5100,9921,32920,40284
50,4549,8529,31509,43638
51,3930,7471,30046,46778
52,3562,6312,28553,49798
53,3089,5555,26868,52713
54,2769,4755,25296,55405
55,2501,4071,23841,57812
56,2322,3437,22276,60190
57,2174,2873,20749,62429
58,2005,2458,19215,64547
59,1869,2131,17693,66532
60,1743,1833,16356,68293
61,1666,1531,15088,69940
62,1542,1368,13866,71449
63,1506,1123,12761,72835
64,1455,933,11686,74151
65,1383,850,10687,75305
66,1316,743,9797,76369
67,1265,651,8949,77360
68,1232,554,8181,78258
69,1181,480,7507,79057
70,1149,430,6859,79787
71,1124,382,6241,80478
72,1098,344,5661,81122
73,1081,282,5170,81692
74,1055,247,4715,82208
75,1027,224,4347,82627
76,1002,206,3977,83040
77,972,209,3597,83447
78,960,180,3294,83791
79,944,164,2977,84140
80,935,148,2706,84436
81,935,114,2489,84687
82,930,98,2264,84933
83,920,91,2045,85169
84,911,86,1877,85351
85,908,71,1716,85530
86,908,59,1549,85709
87,904,54,1408,85859
88,898,49,1275,86003
89,893,45,1156,86131
90,892,37,1049,86247
91,885,35,944,86361
92,880,32,841,86472
93,874,32,774,86545
94,873,27,704,86621
95,864,33,611,86717
96,860,32,546,86787
97,860,26,512,86827
98,856,25,461,86883
99,856,19,416,86934
100,850,23,379,86973
101,850,17,348,87010
102,846,18,316,87045
103,842,21,287,87075
104,840,21,259,87105
105,840,18,236,87131
106,840,12,217,87156
107,838,11,193,87183
108,838,9,170,87208
109,833,11,155,87226
110,833,9,140,87243
111,832,9,129,87255
112,832,4,121,87268
113,832,3,108,87282
114,832,2,98,87293
115,832,1,86,87306
116,832,1,79,87313
117,832,0,67,87326
118,832,0,58,87335
119,832,0,54,87339
120,832,0,49,87344
121,832,0,43,87350
122,832,0,37,87356
123,832,0,33,87360
124,832,0,29,87364
125,832,0,27,87366
126,832,0,23,87370
127,832,0,22,87371
128,831,1,20,87373
129,831,1,20,87373
130,831,1,17,87376
131,831,1,14,87379
132,827,5,14,87379
133,827,5,11,87382
134,827,5,11,87382
135,827,4,9,87385
136,827,3,9,87386
137,827,3,9,87386
138,827,3,9,87386
139,827,2,10,87386
140,827,2,9,87387
141,827,2,9,87387
142,827,0,11,87387
143,827,0,7,87391
144,827,0,6,87392
145,827,0,4,87394
146,827,0,2,87396
147,827,0,2,87396
148,827,0,2,87396
149,827,0,2,87396
150,827,0,2,87396
151,827,0,1,87397
152,827,0,0,87398
153,827,0,0,87398
154,827,0,0,87398
155,827,0,0,87398
156,827,0,0,87398
157,827,0,0,87398
158,827,0,0,87398
159,827,0,0,87398
160,827,0,0,87398
161,827,0,0,87398
162,827,0,0,87398
163,827,0,0,87398
164,827,0,0,87398
165,827,0,0,87398
166,827,0,0,87398
167,827,0,0,87398
168,827,0,0,87398
169,827,0,0,87398
170,827,0,0,87398
171,827,0,0,87398
172,827,0,0,87398
173,827,0,0,87398
174,827,0,0,87398
175,827,0,0,87398
176,827,0,0,87398
177,827,0,0,87398
178,827,0,0,87398
179,827,0,0,87398
